,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,13426,-3791,-0xecf,-5181,-0x143d,,,+3657,+0xe49,+11655,+0x2d87,,
1,<<,13427,-2245,-0x8c5,,,-3759,-0xeaf,+31961,+0x7cd9,+42939,+0xa7bb,,
1,<<,13428,-2463,-0x99f,-28553,-0x6f89,,,+7441,+0x1d11,+78843,+0x133fb,,
1,<<,13429,-19891,-0x4db3,-77865,-0x13029,,,+5079,+0x13d7,,,+9221,+0x2405
1,<<,13430,-141,-0x8d,,,-23883,-0x5d4b,+75,+0x4b,,,+9517,+0x252d
1,<<,13431,-3435,-0xd6b,-23145,-0x5a69,,,+12345,+0x3039,+13259,+0x33cb,,
1,<<,13432,-7169,-0x1c01,,,-7995,-0x1f3b,+6111,+0x17df,,,+38773,+0x9775
1,<<,13433,-4149,-0x1035,,,-66435,-0x10383,+5579,+0x15cb,,,+12657,+0x3171
1,<<,13434,-4473,-0x1179,,,-11351,-0x2c57,+4383,+0x111f,,,+9073,+0x2371
1,<<,13435,-9601,-0x2581,,,-15555,-0x3cc3,+3023,+0xbcf,,,+25665,+0x6441
1,<<,13436,-11643,-0x2d7b,-95933,-0x176bd,,,+2787,+0xae3,,,+7621,+0x1dc5
1,<<,13437,-20191,-0x4edf,-49941,-0xc315,,,+599,+0x257,,,+12381,+0x305d
1,<<,13438,-3713,-0xe81,,,-7343,-0x1caf,+49927,+0xc307,,,+63265,+0xf721
1,<<,13439,-8499,-0x2133,-20277,-0x4f35,,,+14529,+0x38c1,+21551,+0x542f,,
1,<<,13440,-35567,-0x8aef,-50573,-0xc58d,,,+1045,+0x415,+63463,+0xf7e7,,
1,<<,13441,-16819,-0x41b3,-31753,-0x7c09,,,+22289,+0x5711,+52955,+0xcedb,,
1,<<,13442,-16437,-0x4035,,,-19535,-0x4c4f,+12975,+0x32af,,,+14173,+0x375d
1,<<,13443,-15879,-0x3e07,-18805,-0x4975,,,+11039,+0x2b1f,,,+14681,+0x3959
1,<<,13444,-3675,-0xe5b,-3689,-0xe69,,,+9297,+0x2451,+32635,+0x7f7b,,
1,<<,13445,-35413,-0x8a55,,,-43519,-0xa9ff,+4991,+0x137f,,,+8237,+0x202d
1,<<,13446,-1763,-0x6e3,-31481,-0x7af9,,,+1317,+0x525,+15843,+0x3de3,,
1,<<,13447,-6369,-0x18e1,,,-18187,-0x470b,+7175,+0x1c07,,,+10605,+0x296d
1,<<,13448,-3219,-0xc93,-19565,-0x4c6d,,,+22003,+0x55f3,,,+25141,+0x6235
1,<<,13449,-763,-0x2fb,-48985,-0xbf59,,,+5757,+0x167d,+16079,+0x3ecf,,
1,<<,13450,-21911,-0x5597,-71685,-0x11805,,,+1813,+0x715,+17367,+0x43d7,,
1,<<,13451,-4579,-0x11e3,-21777,-0x5511,,,+951,+0x3b7,,,+26753,+0x6881
1,<<,13452,-11849,-0x2e49,,,-20699,-0x50db,+4161,+0x1041,+13231,+0x33af,,
1,<<,13453,-14571,-0x38eb,-33229,-0x81cd,,,+25637,+0x6425,+65799,+0x10107,,
1,<<,13454,-18171,-0x46fb,-26073,-0x65d9,,,+7245,+0x1c4d,+39807,+0x9b7f,,
1,<<,13455,-2181,-0x885,,,-5487,-0x156f,+9983,+0x26ff,,,+16973,+0x424d
1,<<,13456,-9605,-0x2585,,,-15735,-0x3d77,+681,+0x2a9,+8371,+0x20b3,,
1,<<,13457,-17691,-0x451b,-18145,-0x46e1,,,+16239,+0x3f6f,,,+29661,+0x73dd
1,<<,13458,-8801,-0x2261,,,-37055,-0x90bf,+1065,+0x429,+64863,+0xfd5f,,
1,<<,13459,-13117,-0x333d,,,-41451,-0xa1eb,+1943,+0x797,,,+81873,+0x13fd1
1,<<,13460,-16313,-0x3fb9,,,-42695,-0xa6c7,+12193,+0x2fa1,+37591,+0x92d7,,
1,<<,13461,-11295,-0x2c1f,-30645,-0x77b5,,,+3437,+0xd6d,+8271,+0x204f,,
1,<<,13462,-4271,-0x10af,-12857,-0x3239,,,+3663,+0xe4f,,,+35785,+0x8bc9
1,<<,13463,-355,-0x163,-5809,-0x16b1,,,+1593,+0x639,+27851,+0x6ccb,,
1,<<,13464,-8619,-0x21ab,-17589,-0x44b5,,,+18207,+0x471f,,,+20533,+0x5035
1,<<,13465,-4381,-0x111d,,,-10795,-0x2a2b,+2171,+0x87b,,,+12909,+0x326d
1,<<,13466,-11861,-0x2e55,,,-66183,-0x10287,+18739,+0x4933,,,+23737,+0x5cb9
1,<<,13467,-23515,-0x5bdb,-38425,-0x9619,,,+8799,+0x225f,,,+22589,+0x583d
1,<<,13468,-4625,-0x1211,,,-21803,-0x552b,+181,+0xb5,+12007,+0x2ee7,,
1,<<,13469,-18289,-0x4771,,,-20079,-0x4e6f,+4521,+0x11a9,+44451,+0xada3,,
1,<<,13470,-1215,-0x4bf,-14817,-0x39e1,,,+4545,+0x11c1,+7179,+0x1c0b,,
1,<<,13471,-4929,-0x1341,,,-8371,-0x20b3,+3275,+0xccb,,,+14525,+0x38bd
1,<<,13472,-723,-0x2d3,-16737,-0x4161,,,+505,+0x1f9,+6763,+0x1a6b,,
1,<<,13473,-5271,-0x1497,-10605,-0x296d,,,+999,+0x3e7,,,+1769,+0x6e9
1,<<,13474,-5055,-0x13bf,-28197,-0x6e25,,,+13897,+0x3649,+40347,+0x9d9b,,
1,<<,13475,-1465,-0x5b9,,,-30627,-0x77a3,+3551,+0xddf,,,+15821,+0x3dcd
1,<<,13476,-3029,-0xbd5,,,-8487,-0x2127,+3595,+0xe0b,,,+14997,+0x3a95
1,<<,13477,-19149,-0x4acd,,,-69195,-0x10e4b,+3591,+0xe07,,,+9425,+0x24d1
1,<<,13478,-8793,-0x2259,,,-10163,-0x27b3,+5227,+0x146b,,,+44545,+0xae01
1,<<,13479,-1587,-0x633,-63625,-0xf889,,,+1625,+0x659,+22331,+0x573b,,
1,<<,13480,-8337,-0x2091,,,-45699,-0xb283,+22143,+0x567f,,,+38017,+0x9481
1,<<,13481,-13471,-0x349f,-14421,-0x3855,,,+3371,+0xd2b,,,+8409,+0x20d9
1,<<,13482,-7947,-0x1f0b,-30897,-0x78b1,,,+11145,+0x2b89,+76603,+0x12b3b,,
1,<<,13483,-5647,-0x160f,-19669,-0x4cd5,,,+2471,+0x9a7,,,+13565,+0x34fd
1,<<,13484,-4343,-0x10f7,-16733,-0x415d,,,+2311,+0x907,,,+67717,+0x10885
1,<<,13485,-2445,-0x98d,,,-36195,-0x8d63,+1307,+0x51b,,,+29409,+0x72e1
1,<<,13486,-6465,-0x1941,,,-8151,-0x1fd7,+2617,+0xa39,+11383,+0x2c77,,
1,<<,13487,-9675,-0x25cb,-11277,-0x2c0d,,,+17061,+0x42a5,+22775,+0x58f7,,
1,<<,13488,-44285,-0xacfd,,,-63327,-0xf75f,+22543,+0x580f,,,+135565,+0x2118d
1,<<,13489,-12961,-0x32a1,,,-19935,-0x4ddf,+8775,+0x2247,,,+17381,+0x43e5
1,<<,13490,-20435,-0x4fd3,-31193,-0x79d9,,,+1813,+0x715,+6739,+0x1a53,,
1,<<,13491,-8955,-0x22fb,-10737,-0x29f1,,,+7173,+0x1c05,+37503,+0x927f,,
1,<<,13492,-40785,-0x9f51,,,-48683,-0xbe2b,+3621,+0xe25,+13671,+0x3567,,
1,<<,13493,-6105,-0x17d9,,,-35383,-0x8a37,+30335,+0x767f,,,+73365,+0x11e95
1,<<,13494,-4431,-0x114f,-5457,-0x1551,,,+229,+0xe5,+34519,+0x86d7,,
1,<<,13495,-2659,-0xa63,-9057,-0x2361,,,+2463,+0x99f,,,+2825,+0xb09
1,<<,13496,-29655,-0x73d7,-42989,-0xa7ed,,,+23073,+0x5a21,+25795,+0x64c3,,
1,<<,13497,-14293,-0x37d5,,,-68491,-0x10b8b,+13067,+0x330b,,,+20081,+0x4e71
1,<<,13498,-19611,-0x4c9b,-31085,-0x796d,,,+8283,+0x205b,,,+23797,+0x5cf5
1,<<,13499,-1675,-0x68b,-8829,-0x227d,,,+5133,+0x140d,+6179,+0x1823,,
1,<<,13500,-2079,-0x81f,-2865,-0xb31,,,+7845,+0x1ea5,+23007,+0x59df,,
1,<<,13501,-6189,-0x182d,,,-6903,-0x1af7,+255,+0xff,,,+10517,+0x2915
1,<<,13502,-37053,-0x90bd,,,-63143,-0xf6a7,+525,+0x20d,+12543,+0x30ff,,
1,<<,13503,-1951,-0x79f,-31029,-0x7935,,,+1481,+0x5c9,+28311,+0x6e97,,
1,<<,13504,-9089,-0x2381,,,-17855,-0x45bf,+4201,+0x1069,+14995,+0x3a93,,
1,<<,13505,-6873,-0x1ad9,,,-25639,-0x6427,+10467,+0x28e3,,,+26409,+0x6729
1,<<,13506,-11741,-0x2ddd,,,-25511,-0x63a7,+10725,+0x29e5,+41643,+0xa2ab,,
1,<<,13507,-6817,-0x1aa1,,,-7435,-0x1d0b,+14583,+0x38f7,,,+17885,+0x45dd
1,<<,13508,-3209,-0xc89,,,-3447,-0xd77,+4395,+0x112b,,,+6417,+0x1911
1,<<,13509,-17433,-0x4419,,,-43479,-0xa9d7,+2639,+0xa4f,,,+17889,+0x45e1
1,<<,13510,-25623,-0x6417,-61493,-0xf035,,,+3913,+0xf49,+26527,+0x679f,,
1,<<,13511,-24537,-0x5fd9,,,-44427,-0xad8b,+19959,+0x4df7,,,+21813,+0x5535
1,<<,13512,-3839,-0xeff,-20529,-0x5031,,,+19701,+0x4cf5,+20895,+0x519f,,
1,<<,13513,-9651,-0x25b3,-13605,-0x3525,,,+8837,+0x2285,+11771,+0x2dfb,,
1,<<,13514,-24173,-0x5e6d,,,-35267,-0x89c3,+12999,+0x32c7,,,+41649,+0xa2b1
1,<<,13515,-6475,-0x194b,-77425,-0x12e71,,,+21329,+0x5351,+46659,+0xb643,,
1,<<,13516,-605,-0x25d,,,-5627,-0x15fb,+8061,+0x1f7d,+31087,+0x796f,,
1,<<,13517,-9285,-0x2445,,,-17895,-0x45e7,+38387,+0x95f3,,,+58541,+0xe4ad
1,<<,13518,-1925,-0x785,,,-19227,-0x4b1b,+2749,+0xabd,+12307,+0x3013,,
1,<<,13519,-4687,-0x124f,-30961,-0x78f1,,,+14433,+0x3861,+27383,+0x6af7,,
1,<<,13520,-939,-0x3ab,-4385,-0x1121,,,+4173,+0x104d,+6151,+0x1807,,
1,<<,13521,-9771,-0x262b,-30501,-0x7725,,,+2147,+0x863,,,+27749,+0x6c65
1,<<,13522,-4037,-0xfc5,,,-35283,-0x89d3,+2613,+0xa35,+9459,+0x24f3,,
1,<<,13523,-4525,-0x11ad,,,-12711,-0x31a7,+221,+0xdd,+33419,+0x828b,,
1,<<,13524,-13985,-0x36a1,,,-58499,-0xe483,+1027,+0x403,,,+2853,+0xb25
1,<<,13525,-25473,-0x6381,,,-29443,-0x7303,+13779,+0x35d3,,,+26865,+0x68f1
1,<<,13526,-11553,-0x2d21,,,-13331,-0x3413,+17109,+0x42d5,+19815,+0x4d67,,
1,<<,13527,-6225,-0x1851,,,-51459,-0xc903,+8709,+0x2205,+27203,+0x6a43,,
1,<<,13528,-27809,-0x6ca1,,,-42735,-0xa6ef,+2733,+0xaad,+24091,+0x5e1b,,
1,<<,13529,-3655,-0xe47,-70965,-0x11535,,,+31187,+0x79d3,,,+74957,+0x124cd
1,<<,13530,-3713,-0xe81,,,-20055,-0x4e57,+26187,+0x664b,,,+77649,+0x12f51
1,<<,13531,-2839,-0xb17,-3837,-0xefd,,,+8403,+0x20d3,,,+22281,+0x5709
1,<<,13532,-6603,-0x19cb,-43713,-0xaac1,,,+16231,+0x3f67,,,+32001,+0x7d01
1,<<,13533,-2713,-0xa99,,,-14203,-0x377b,+6681,+0x1a19,+68867,+0x10d03,,
1,<<,13534,-1607,-0x647,-25985,-0x6581,,,+15897,+0x3e19,+52635,+0xcd9b,,
1,<<,13535,-20827,-0x515b,-86065,-0x15031,,,+4611,+0x1203,,,+36293,+0x8dc5
1,<<,13536,-17027,-0x4283,-63573,-0xf855,,,+21945,+0x55b9,+30495,+0x771f,,
1,<<,13537,-11301,-0x2c25,,,-21531,-0x541b,+19179,+0x4aeb,,,+24005,+0x5dc5
1,<<,13538,-7751,-0x1e47,-20337,-0x4f71,,,+1863,+0x747,,,+13453,+0x348d
1,<<,13539,-1749,-0x6d5,,,-7087,-0x1baf,+9843,+0x2673,,,+28173,+0x6e0d
1,<<,13540,-803,-0x323,-7677,-0x1dfd,,,+55653,+0xd965,+68547,+0x10bc3,,
1,<<,13541,-325,-0x145,,,-33459,-0x82b3,+807,+0x327,,,+32837,+0x8045
1,<<,13542,-17807,-0x458f,-21065,-0x5249,,,+2485,+0x9b5,+17727,+0x453f,,
1,<<,13543,-9885,-0x269d,,,-15159,-0x3b37,+8861,+0x229d,+39963,+0x9c1b,,
1,<<,13544,-3669,-0xe55,,,-26663,-0x6827,+3751,+0xea7,,,+11533,+0x2d0d
1,<<,13545,-12859,-0x323b,-22141,-0x567d,,,+5639,+0x1607,,,+20105,+0x4e89
1,<<,13546,-4367,-0x110f,-33453,-0x82ad,,,+3189,+0xc75,+69427,+0x10f33,,
1,<<,13547,-6369,-0x18e1,,,-31387,-0x7a9b,+5949,+0x173d,+57539,+0xe0c3,,
1,<<,13548,-13043,-0x32f3,-64245,-0xfaf5,,,+3313,+0xcf1,+6711,+0x1a37,,
1,<<,13549,-25099,-0x620b,-38181,-0x9525,,,+14939,+0x3a5b,,,+34145,+0x8561
1,<<,13550,-9903,-0x26af,-30173,-0x75dd,,,+2527,+0x9df,,,+8197,+0x2005
1,<<,13551,-25575,-0x63e7,-25597,-0x63fd,,,+24119,+0x5e37,,,+84009,+0x14829
1,<<,13552,-9899,-0x26ab,-19809,-0x4d61,,,+4881,+0x1311,+29367,+0x72b7,,
1,<<,13553,-10033,-0x2731,,,-14635,-0x392b,+16625,+0x40f1,+20759,+0x5117,,
1,<<,13554,-15743,-0x3d7f,-37265,-0x9191,,,+17335,+0x43b7,,,+19149,+0x4acd
1,<<,13555,-1875,-0x753,-32025,-0x7d19,,,+6545,+0x1991,+29763,+0x7443,,
1,<<,13556,-2675,-0xa73,-6993,-0x1b51,,,+2055,+0x807,,,+11625,+0x2d69
1,<<,13557,-5143,-0x1417,-15673,-0x3d39,,,+3719,+0xe87,,,+30257,+0x7631
1,<<,13558,-18051,-0x4683,-22053,-0x5625,,,+39483,+0x9a3b,,,+48313,+0xbcb9
1,<<,13559,-2605,-0xa2d,,,-14967,-0x3a77,+239,+0xef,,,+39701,+0x9b15
1,<<,13560,-5295,-0x14af,-5757,-0x167d,,,+4543,+0x11bf,,,+55293,+0xd7fd
1,<<,13561,-1483,-0x5cb,-12205,-0x2fad,,,+3077,+0xc05,+3951,+0xf6f,,
1,<<,13562,-16331,-0x3fcb,-31857,-0x7c71,,,+16575,+0x40bf,,,+34033,+0x84f1
1,<<,13563,-10309,-0x2845,,,-20131,-0x4ea3,+8799,+0x225f,,,+26709,+0x6855
1,<<,13564,-1839,-0x72f,-57449,-0xe069,,,+2253,+0x8cd,+2271,+0x8df,,
1,<<,13565,-4791,-0x12b7,-19921,-0x4dd1,,,+21261,+0x530d,+38679,+0x9717,,
1,<<,13566,-17855,-0x45bf,-20801,-0x5141,,,+6517,+0x1975,+19327,+0x4b7f,,
1,<<,13567,-7605,-0x1db5,,,-11115,-0x2b6b,+31341,+0x7a6d,+31419,+0x7abb,,
1,<<,13568,-7089,-0x1bb1,,,-28227,-0x6e43,+26341,+0x66e5,+37723,+0x935b,,
1,<<,13569,-3321,-0xcf9,,,-22635,-0x586b,+3357,+0xd1d,+19779,+0x4d43,,
1,<<,13570,-10497,-0x2901,,,-29655,-0x73d7,+5155,+0x1423,,,+9477,+0x2505
1,<<,13571,-2011,-0x7db,-18609,-0x48b1,,,+881,+0x371,+9455,+0x24ef,,
1,<<,13572,-5985,-0x1761,,,-9755,-0x261b,+19593,+0x4c89,+57403,+0xe03b,,
1,<<,13573,-2793,-0xae9,,,-13455,-0x348f,+1541,+0x605,+18875,+0x49bb,,
1,<<,13574,-3467,-0xd8b,-6237,-0x185d,,,+3655,+0xe47,,,+16725,+0x4155
1,<<,13575,-3835,-0xefb,-7185,-0x1c11,,,+3713,+0xe81,+73859,+0x12083,,
1,<<,13576,-4275,-0x10b3,-7229,-0x1c3d,,,+4375,+0x1117,,,+16113,+0x3ef1
1,<<,13577,-3979,-0xf8b,-124101,-0x1e4c5,,,+21629,+0x547d,+45935,+0xb36f,,
1,<<,13578,-8483,-0x2123,-9077,-0x2375,,,+8265,+0x2049,+33043,+0x8113,,
1,<<,13579,-31927,-0x7cb7,-37129,-0x9109,,,+3531,+0xdcb,,,+4725,+0x1275
1,<<,13580,-5939,-0x1733,-10865,-0x2a71,,,+397,+0x18d,+5011,+0x1393,,
1,<<,13581,-909,-0x38d,,,-9975,-0x26f7,+1611,+0x64b,,,+14205,+0x377d
1,<<,13582,-6831,-0x1aaf,-9633,-0x25a1,,,+8329,+0x2089,+62115,+0xf2a3,,
1,<<,13583,-21855,-0x555f,-24621,-0x602d,,,+4395,+0x112b,,,+49589,+0xc1b5
1,<<,13584,-7103,-0x1bbf,-16533,-0x4095,,,+25965,+0x656d,+60091,+0xeabb,,
1,<<,13585,-16701,-0x413d,,,-59499,-0xe86b,+2687,+0xa7f,,,+12617,+0x3149
1,<<,13586,-32175,-0x7daf,-40601,-0x9e99,,,+1519,+0x5ef,,,+17385,+0x43e9
1,<<,13587,-14557,-0x38dd,,,-27751,-0x6c67,+5565,+0x15bd,+13379,+0x3443,,
1,<<,13588,-983,-0x3d7,-10445,-0x28cd,,,+1305,+0x519,+28863,+0x70bf,,
1,<<,13589,-3379,-0xd33,-58165,-0xe335,,,+13845,+0x3615,+43211,+0xa8cb,,
1,<<,13590,-11921,-0x2e91,,,-61011,-0xee53,+17413,+0x4405,+21187,+0x52c3,,
1,<<,13591,-1119,-0x45f,-1417,-0x589,,,+3293,+0xcdd,+9299,+0x2453,,
1,<<,13592,-15449,-0x3c59,,,-17363,-0x43d3,+17085,+0x42bd,+25071,+0x61ef,,
1,<<,13593,-4293,-0x10c5,,,-6039,-0x1797,+9495,+0x2517,,,+37661,+0x931d
1,<<,13594,-15057,-0x3ad1,,,-24191,-0x5e7f,+1035,+0x40b,,,+15873,+0x3e01
1,<<,13595,-675,-0x2a3,-33405,-0x827d,,,+3525,+0xdc5,+30651,+0x77bb,,
1,<<,13596,-7557,-0x1d85,,,-13523,-0x34d3,+2187,+0x88b,,,+3981,+0xf8d
1,<<,13597,-18859,-0x49ab,-37069,-0x90cd,,,+4865,+0x1301,+67647,+0x1083f,,
1,<<,13598,-20201,-0x4ee9,,,-21747,-0x54f3,+9249,+0x2421,+32383,+0x7e7f,,
1,<<,13599,-22621,-0x585d,,,-61087,-0xee9f,+17073,+0x42b1,+17675,+0x450b,,
1,<<,13600,-25373,-0x631d,,,-100163,-0x18743,+1477,+0x5c5,+5011,+0x1393,,
1,<<,13601,-11913,-0x2e89,,,-16039,-0x3ea7,+4667,+0x123b,,,+114177,+0x1be01
1,<<,13602,-8025,-0x1f59,,,-35627,-0x8b2b,+2187,+0x88b,,,+7557,+0x1d85
1,<<,13603,-19827,-0x4d73,-31909,-0x7ca5,,,+18585,+0x4899,+26715,+0x685b,,
1,<<,13604,-1485,-0x5cd,,,-17243,-0x435b,+8313,+0x2079,+13963,+0x368b,,
1,<<,13605,-4855,-0x12f7,-20881,-0x5191,,,+4229,+0x1085,+24731,+0x609b,,
1,<<,13606,-3671,-0xe57,-42537,-0xa629,,,+423,+0x1a7,,,+15709,+0x3d5d
1,<<,13607,-18529,-0x4861,,,-87895,-0x15757,+7079,+0x1ba7,,,+10569,+0x2949
1,<<,13608,-4389,-0x1125,,,-21135,-0x528f,+6693,+0x1a25,+21291,+0x532b,,
1,<<,13609,-14811,-0x39db,-52029,-0xcb3d,,,+12617,+0x3149,+44739,+0xaec3,,
1,<<,13610,-3797,-0xed5,,,-6467,-0x1943,+5233,+0x1471,+63519,+0xf81f,,
1,<<,13611,-6831,-0x1aaf,-52737,-0xce01,,,+971,+0x3cb,,,+15465,+0x3c69
1,<<,13612,-20259,-0x4f23,-26325,-0x66d5,,,+9297,+0x2451,+16167,+0x3f27,,
1,<<,13613,-19791,-0x4d4f,-30589,-0x777d,,,+3845,+0xf05,+24095,+0x5e1f,,
1,<<,13614,-11991,-0x2ed7,-12057,-0x2f19,,,+207,+0xcf,,,+47517,+0xb99d
1,<<,13615,-2251,-0x8cb,-18789,-0x4965,,,+9,+0x9,+11711,+0x2dbf,,
1,<<,13616,-25997,-0x658d,,,-38103,-0x94d7,+855,+0x357,,,+34081,+0x8521
1,<<,13617,-1545,-0x609,,,-24519,-0x5fc7,+9837,+0x266d,+48315,+0xbcbb,,
1,<<,13618,-3245,-0xcad,,,-26955,-0x694b,+2037,+0x7f5,+7927,+0x1ef7,,
1,<<,13619,-12759,-0x31d7,-32397,-0x7e8d,,,+3765,+0xeb5,+12051,+0x2f13,,
1,<<,13620,-1185,-0x4a1,,,-6587,-0x19bb,+5287,+0x14a7,,,+19905,+0x4dc1
1,<<,13621,-1401,-0x579,,,-31359,-0x7a7f,+15399,+0x3c27,,,+74049,+0x12141
1,<<,13622,-40515,-0x9e43,-60593,-0xecb1,,,+1113,+0x459,+4719,+0x126f,,
1,<<,13623,-16659,-0x4113,-66637,-0x1044d,,,+3609,+0xe19,+29519,+0x734f,,
1,<<,13624,-1275,-0x4fb,-2169,-0x879,,,+4423,+0x1147,,,+12505,+0x30d9
1,<<,13625,-3709,-0xe7d,,,-14799,-0x39cf,+3519,+0xdbf,,,+21585,+0x5451
1,<<,13626,-975,-0x3cf,-15005,-0x3a9d,,,+23809,+0x5d01,+24943,+0x616f,,
1,<<,13627,-20739,-0x5103,-31057,-0x7951,,,+731,+0x2db,,,+5201,+0x1451
1,<<,13628,-1947,-0x79b,-47505,-0xb991,,,+183,+0xb7,,,+48057,+0xbbb9
1,<<,13629,-1575,-0x627,-2461,-0x99d,,,+3015,+0xbc7,,,+15729,+0x3d71
1,<<,13630,-13185,-0x3381,,,-42707,-0xa6d3,+12463,+0x30af,,,+33897,+0x8469
1,<<,13631,-6939,-0x1b1b,-31681,-0x7bc1,,,+413,+0x19d,+14219,+0x378b,,
1,<<,13632,-1437,-0x59d,,,-1799,-0x707,+37291,+0x91ab,,,+75141,+0x12585
1,<<,13633,-3175,-0xc67,-56433,-0xdc71,,,+10349,+0x286d,+15375,+0x3c0f,,
1,<<,13634,-21891,-0x5583,-25661,-0x643d,,,+10075,+0x275b,,,+42925,+0xa7ad
1,<<,13635,-8979,-0x2313,-11581,-0x2d3d,,,+2361,+0x939,+38063,+0x94af,,
1,<<,13636,-9105,-0x2391,,,-21123,-0x5283,+6673,+0x1a11,+32895,+0x807f,,
1,<<,13637,-3523,-0xdc3,-8193,-0x2001,,,+17127,+0x42e7,,,+27309,+0x6aad
1,<<,13638,-4157,-0x103d,,,-11895,-0x2e77,+17235,+0x4353,,,+29065,+0x7189
1,<<,13639,-2161,-0x871,,,-8551,-0x2167,+1071,+0x42f,,,+1509,+0x5e5
1,<<,13640,-20303,-0x4f4f,-24809,-0x60e9,,,+23331,+0x5b23,,,+30457,+0x76f9
1,<<,13641,-4741,-0x1285,,,-33715,-0x83b3,+4505,+0x1199,+38831,+0x97af,,
1,<<,13642,-31401,-0x7aa9,,,-71567,-0x1178f,+3507,+0xdb3,,,+5553,+0x15b1
1,<<,13643,-15795,-0x3db3,-42877,-0xa77d,,,+5385,+0x1509,+11579,+0x2d3b,,
1,<<,13644,-399,-0x18f,-5849,-0x16d9,,,+11653,+0x2d85,+29635,+0x73c3,,
1,<<,13645,-511,-0x1ff,-32253,-0x7dfd,,,+14339,+0x3803,,,+27297,+0x6aa1
1,<<,13646,-3305,-0xce9,,,-10067,-0x2753,+3277,+0xccd,+7375,+0x1ccf,,
1,<<,13647,-18217,-0x4729,,,-73615,-0x11f8f,+3171,+0xc63,,,+20105,+0x4e89
1,<<,13648,-14829,-0x39ed,,,-59339,-0xe7cb,+9037,+0x234d,+24111,+0x5e2f,,
1,<<,13649,-1633,-0x661,,,-34375,-0x8647,+30261,+0x7635,+37359,+0x91ef,,
1,<<,13650,-34947,-0x8883,-43053,-0xa82d,,,+325,+0x145,+7815,+0x1e87,,
1,<<,13651,-7831,-0x1e97,-26565,-0x67c5,,,+19235,+0x4b23,,,+40541,+0x9e5d
1,<<,13652,-51107,-0xc7a3,-86925,-0x1538d,,,+9007,+0x232f,,,+17113,+0x42d9
1,<<,13653,-6925,-0x1b0d,,,-10783,-0x2a1f,+13487,+0x34af,,,+24129,+0x5e41
1,<<,13654,-21971,-0x55d3,-23741,-0x5cbd,,,+12349,+0x303d,+13395,+0x3453,,
1,<<,13655,-13387,-0x344b,-18949,-0x4a05,,,+6809,+0x1a99,+9251,+0x2423,,
1,<<,13656,-9369,-0x2499,,,-12639,-0x315f,+7827,+0x1e93,,,+16677,+0x4125
1,<<,13657,-661,-0x295,,,-23875,-0x5d43,+48689,+0xbe31,+60927,+0xedff,,
1,<<,13658,-10565,-0x2945,,,-11543,-0x2d17,+4593,+0x11f1,+32575,+0x7f3f,,
1,<<,13659,-6411,-0x190b,-8745,-0x2229,,,+4155,+0x103b,,,+5045,+0x13b5
1,<<,13660,-579,-0x243,-9737,-0x2609,,,+2641,+0xa51,+52471,+0xccf7,,
1,<<,13661,-9763,-0x2623,-48573,-0xbdbd,,,+3707,+0xe7b,,,+38805,+0x9795
1,<<,13662,-8025,-0x1f59,,,-20051,-0x4e53,+7347,+0x1cb3,,,+17829,+0x45a5
1,<<,13663,-1705,-0x6a9,,,-18715,-0x491b,+9989,+0x2705,+18795,+0x496b,,
1,<<,13664,-6153,-0x1809,,,-7535,-0x1d6f,+393,+0x189,+49767,+0xc267,,
1,<<,13665,-17385,-0x43e9,,,-29179,-0x71fb,+2219,+0x8ab,,,+2721,+0xaa1
1,<<,13666,-1865,-0x749,,,-17987,-0x4643,+17413,+0x4405,+20463,+0x4fef,,
1,<<,13667,-7225,-0x1c39,,,-17439,-0x441f,+7641,+0x1dd9,+29631,+0x73bf,,
1,<<,13668,-4353,-0x1101,,,-16215,-0x3f57,+3735,+0xe97,,,+11721,+0x2dc9
1,<<,13669,-349,-0x15d,,,-6219,-0x184b,+1341,+0x53d,+35339,+0x8a0b,,
1,<<,13670,-13671,-0x3567,-24417,-0x5f61,,,+22897,+0x5971,+49795,+0xc283,,
1,<<,13671,-51,-0x33,-31545,-0x7b39,,,+5171,+0x1433,,,+8789,+0x2255
1,<<,13672,-525,-0x20d,,,-12515,-0x30e3,+26641,+0x6811,+83307,+0x1456b,,
1,<<,13673,-1195,-0x4ab,-16749,-0x416d,,,+9839,+0x266f,,,+28701,+0x701d
1,<<,13674,-17541,-0x4485,,,-54987,-0xd6cb,+1495,+0x5d7,,,+18205,+0x471d
1,<<,13675,-237,-0xed,,,-14187,-0x376b,+1595,+0x63b,,,+9125,+0x23a5
1,<<,13676,-8373,-0x20b5,,,-24095,-0x5e1f,+2725,+0xaa5,+5311,+0x14bf,,
1,<<,13677,-1141,-0x475,,,-33135,-0x816f,+929,+0x3a1,+72999,+0x11d27,,
1,<<,13678,-467,-0x1d3,-18401,-0x47e1,,,+12655,+0x316f,,,+21393,+0x5391
1,<<,13679,-2449,-0x991,,,-7671,-0x1df7,+36563,+0x8ed3,,,+37689,+0x9339
1,<<,13680,-13505,-0x34c1,,,-22055,-0x5627,+10171,+0x27bb,,,+22597,+0x5845
1,<<,13681,-2839,-0xb17,-30765,-0x782d,,,+4917,+0x1335,+15071,+0x3adf,,
