,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,274,-305,-0x131,,,-351,-0x15f,+63,+0x3f,,,+177,+0xb1
1,<<,275,-129,-0x81,,,-199,-0xc7,+363,+0x16b,,,+545,+0x221
1,<<,276,-89,-0x59,,,-483,-0x1e3,+157,+0x9d,+963,+0x3c3,,
1,<<,277,-103,-0x67,-181,-0xb5,,,+101,+0x65,+179,+0xb3,,
1,<<,278,-93,-0x5d,,,-623,-0x26f,+117,+0x75,+559,+0x22f,,
1,<<,279,-69,-0x45,,,-231,-0xe7,+89,+0x59,+303,+0x12f,,
1,<<,280,-47,-0x2f,-105,-0x69,,,+45,+0x2d,+547,+0x223,,
1,<<,281,-139,-0x8b,-601,-0x259,,,+197,+0xc5,+567,+0x237,,
1,<<,282,-83,-0x53,-93,-0x5d,,,+159,+0x9f,,,+189,+0xbd
1,<<,283,-45,-0x2d,,,-1239,-0x4d7,+375,+0x177,,,+513,+0x201
1,<<,284,-173,-0xad,,,-323,-0x143,+343,+0x157,,,+513,+0x201
1,<<,285,-9,-0x9,,,-735,-0x2df,+17,+0x11,+719,+0x2cf,,
1,<<,286,-165,-0xa5,,,-915,-0x393,+43,+0x2b,,,+345,+0x159
1,<<,287,-115,-0x73,-937,-0x3a9,,,+35,+0x23,,,+65,+0x41
1,<<,288,-167,-0xa7,-525,-0x20d,,,+127,+0x7f,,,+541,+0x21d
1,<<,289,-493,-0x1ed,,,-843,-0x34b,+101,+0x65,+987,+0x3db,,
1,<<,290,-47,-0x2f,-825,-0x339,,,+553,+0x229,+1227,+0x4cb,,
1,<<,291,-19,-0x13,-861,-0x35d,,,+71,+0x47,,,+305,+0x131
1,<<,292,-167,-0xa7,-197,-0xc5,,,+13,+0xd,+91,+0x5b,,
1,<<,293,-601,-0x259,,,-1095,-0x447,+239,+0xef,,,+609,+0x261
1,<<,294,-35,-0x23,-177,-0xb1,,,+67,+0x43,,,+169,+0xa9
1,<<,295,-171,-0xab,-421,-0x1a5,,,+9,+0x9,+143,+0x8f,,
1,<<,296,-285,-0x11d,,,-1007,-0x3ef,+61,+0x3d,+163,+0xa3,,
1,<<,297,-123,-0x7b,-285,-0x11d,,,+11,+0xb,,,+17,+0x11
1,<<,298,-341,-0x155,,,-483,-0x1e3,+463,+0x1cf,,,+813,+0x32d
1,<<,299,-69,-0x45,,,-675,-0x2a3,+443,+0x1bb,,,+645,+0x285
1,<<,300,-153,-0x99,,,-383,-0x17f,+157,+0x9d,+631,+0x277,,
1,<<,301,-265,-0x109,,,-523,-0x20b,+27,+0x1b,,,+165,+0xa5
1,<<,302,-267,-0x10b,-293,-0x125,,,+307,+0x133,,,+609,+0x261
1,<<,303,-121,-0x79,,,-207,-0xcf,+101,+0x65,+455,+0x1c7,,
1,<<,304,-75,-0x4b,-1685,-0x695,,,+37,+0x25,+703,+0x2bf,,
1,<<,305,-103,-0x67,-429,-0x1ad,,,+131,+0x83,,,+285,+0x11d
1,<<,306,-503,-0x1f7,-1017,-0x3f9,,,+45,+0x2d,+375,+0x177,,
1,<<,307,-99,-0x63,-369,-0x171,,,+135,+0x87,,,+725,+0x2d5
1,<<,308,-159,-0x9f,-189,-0xbd,,,+27,+0x1b,,,+81,+0x51
1,<<,309,-493,-0x1ed,,,-3243,-0xcab,+659,+0x293,,,+969,+0x3c9
1,<<,310,-77,-0x4d,,,-255,-0xff,+15,+0xf,,,+189,+0xbd
1,<<,311,-45,-0x2d,,,-75,-0x4b,+111,+0x6f,,,+665,+0x299
1,<<,312,-203,-0xcb,-689,-0x2b1,,,+91,+0x5b,,,+1557,+0x615
1,<<,313,-139,-0x8b,-669,-0x29d,,,+125,+0x7d,+279,+0x117,,
1,<<,314,-113,-0x71,,,-695,-0x2b7,+93,+0x5d,+307,+0x133,,
1,<<,315,-465,-0x1d1,,,-691,-0x2b3,+81,+0x51,+203,+0xcb,,
1,<<,316,-57,-0x39,,,-243,-0xf3,+87,+0x57,,,+385,+0x181
1,<<,317,-33,-0x21,,,-379,-0x17b,+9,+0x9,+987,+0x3db,,
1,<<,318,-165,-0xa5,,,-275,-0x113,+933,+0x3a5,+975,+0x3cf,,
1,<<,319,-795,-0x31b,-865,-0x361,,,+9,+0x9,+123,+0x7b,,
1,<<,320,-197,-0xc5,,,-743,-0x2e7,+27,+0x1b,,,+261,+0x105
1,<<,321,-9,-0x9,,,-1395,-0x573,+165,+0xa5,+927,+0x39f,,
