r1,r2,r3,a1,b1,a2,b2,a3,b3
7,10,11,5390,4803,7700,6861,8470,7547
7,10,13,6370,1051,9100,1501,11830,1951
7,10,17,8330,7379,11900,10541,20230,17919
7,10,19,9310,3767,13300,5381,25270,10223
7,10,23,11270,6161,16100,8801,37030,20241
7,10,29,14210,12797,20300,18281,58870,53013
7,10,31,15190,4733,21700,6761,67270,20957
7,11,12,6468,4327,10164,6799,11088,7417
7,11,13,7007,5678,11011,8922,13013,10544
7,11,16,8624,6427,13552,10099,19712,14689
7,11,17,9163,2010,14399,3158,22253,4880
7,11,18,9702,6049,15246,9505,24948,15553
7,11,19,10241,4131,16093,6491,27797,11211
7,11,20,10780,9843,16940,15467,30800,28121
7,11,23,12397,6868,19481,10792,40733,22564
7,11,24,12936,2059,20328,3235,44352,7057
7,11,26,14014,309,22022,485,52052,1145
7,11,29,15631,7281,24563,11441,64757,30161
7,11,30,16170,6133,25410,9637,69300,26281
7,11,31,16709,6763,26257,10627,73997,29947
7,11,32,17248,12811,27104,20131,78848,58561
7,12,13,7644,2633,13104,4513,14196,4889
7,12,17,9996,7393,17136,12673,24276,17953
7,12,19,11172,1331,19152,2281,30324,3611
7,12,23,13524,883,23184,1513,44436,2899
7,12,29,17052,13105,29232,22465,70644,54289
7,12,31,18228,11999,31248,20569,80724,53135
7,13,16,10192,2381,18928,4421,23296,5441
7,13,17,10829,8744,20111,16238,26299,21234
7,13,18,11466,9941,21294,18461,29484,25561
7,13,19,12103,6553,22477,12169,32851,17785
7,13,20,12740,701,23660,1301,36400,2001
7,13,22,14014,2059,26026,3823,44044,6469
7,13,23,14651,2234,27209,4148,48139,7338
7,13,24,15288,9773,28392,18149,52416,33505
7,13,29,18473,18033,34307,33489,76531,74705
7,13,30,19110,11201,35490,20801,81900,48001
7,13,31,19747,7666,36673,14236,87451,33946
7,13,32,20384,13469,37856,25013,93184,61569
7,16,17,13328,12825,30464,29313,32368,31145
7,16,19,14896,4803,34048,10977,40432,13035
7,16,23,18032,15135,41216,34593,59248,49727
7,16,29,22736,701,51968,1601,94192,2901
7,16,31,24304,12727,55552,29089,107632,56359
7,17,18,14994,13525,36414,32845,38556,34777
7,17,19,15827,9304,38437,22594,42959,25252
7,17,20,16660,4089,40460,9929,47600,11681
7,17,22,18326,13483,44506,32743,57596,42373
7,17,23,19159,12678,46529,30788,62951,41654
7,17,24,19992,11593,48552,28153,68544,39745
7,17,26,21658,11019,52598,26759,80444,40925
7,17,29,24157,20245,58667,49165,100079,83869
7,17,30,24990,22429,60690,54469,107100,96121
7,17,31,25823,16787,62713,40767,114359,74339
7,17,32,26656,17641,64736,42841,121856,80641
7,18,19,16758,6581,43092,16921,45486,17861
7,18,23,20286,2605,52164,6697,66654,8557
7,18,29,25578,9829,65772,25273,105966,40717
7,18,31,27342,11957,70308,30745,121086,52949
7,19,20,18620,3907,50540,10603,53200,11161
7,19,22,20482,9675,55594,26259,64372,30405
7,19,23,21413,2549,58121,6917,70357,8373
7,19,24,22344,827,60648,2243,76608,2833
7,19,26,24206,4369,65702,11857,89908,16225
7,19,29,26999,3501,73283,9501,111853,14501
7,19,30,27930,16367,75810,44423,119700,70141
7,19,31,28861,21946,78337,59566,127813,97186
7,19,32,29792,2563,80864,6955,136192,11713
7,20,23,22540,3851,64400,11001,74060,12651
7,20,29,28420,8037,81200,22961,117740,33293
7,20,31,30380,8303,86800,23721,134540,36767
7,22,23,24794,19419,77924,61029,81466,63803
7,22,29,31262,5279,98252,16589,129514,21867
7,22,31,33418,4761,105028,14961,147994,21081
7,23,24,27048,6847,88872,22495,92736,23473
7,23,26,29302,15975,96278,52487,108836,59333
7,23,29,32683,64,107387,208,135401,262
7,23,30,33810,25621,111090,84181,144900,109801
7,23,31,34937,4740,114793,15572,154721,20988
7,23,32,36064,2703,118496,8879,164864,12353
7,24,29,34104,16717,116928,57313,141288,69253
7,24,31,36456,25607,124992,87793,161448,113399
7,26,29,36946,36233,137228,134577,153062,150105
7,26,31,39494,22681,146692,84241,174902,100441
7,29,30,42630,39607,176610,164083,182700,169741
7,29,31,44051,42148,182497,174610,195083,186652
7,29,32,45472,13357,188384,55333,207872,61057
7,30,31,45570,24683,195300,105781,201810,109307
7,31,32,48608,44199,215264,195735,222208,202049
8,11,13,9152,8961,12584,12321,14872,14561
8,11,17,11968,9697,16456,13333,25432,20605
8,11,19,13376,11857,18392,16303,31768,28159
8,11,23,16192,14897,22264,20483,46552,42827
